ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
1390,1-9322551405,INSTITUTE OF AERONAUTICAL ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1391,1-9322551405,INSTITUTE OF AERONAUTICAL ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1392,1-9322551405,INSTITUTE OF AERONAUTICAL ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,18
1393,1-9322551405,INSTITUTE OF AERONAUTICAL ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,MANAGEMENT,"Jawaharlal Nehru Technological University, Hyderabad",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2022,60
1394,1-9322551405,INSTITUTE OF AERONAUTICAL ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",POST GRADUATE,EMBEDDED SYSTEMS,ACCREDITED,NBA,30-06-2022,18
1395,1-9322618696,DEENBANDHU CHHOTU RAM UNIVERSITY OF SCI AND TECH,Haryana,SONEPAT,Government,ENGINEERING AND TECHNOLOGY,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,90
1396,1-9322618696,DEENBANDHU CHHOTU RAM UNIVERSITY OF SCI AND TECH,Haryana,SONEPAT,Government,ENGINEERING AND TECHNOLOGY,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,120
1397,1-9322618696,DEENBANDHU CHHOTU RAM UNIVERSITY OF SCI AND TECH,Haryana,SONEPAT,Government,ENGINEERING AND TECHNOLOGY,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1398,1-9322775508,MARATHWADA MITRA MANDAL S COLLEGE OF ENGINEERING,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1399,1-9322775508,MARATHWADA MITRA MANDAL S COLLEGE OF ENGINEERING,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1400,1-9322780271,PRATHYUSHA ENGINEERING COLLEGE,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2023,60
1401,1-9322780271,PRATHYUSHA ENGINEERING COLLEGE,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1402,1-9322780271,PRATHYUSHA ENGINEERING COLLEGE,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,30
1403,1-9322780271,PRATHYUSHA ENGINEERING COLLEGE,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1404,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1405,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1406,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,150
1407,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
1408,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,150
1409,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,TEXTILE MANUFACTURES,ACCREDITED,NBA,30-06-2022,30
1410,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,AUTOMOBILE ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1411,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MINING & MINE SURVEYING,ACCREDITED,NBA,30-06-2022,36
1412,1-9323051724,GOVERNMENT POLYTECHNIC NAGPUR,Maharashtra,NAGPUR,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1413,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,VLSI AND EMBEDDED SYSTEMS,ACCREDITED,NBA,30-06-2022,24
1414,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,MANUFACTURING SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,24
1415,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,MACHINE DESIGN,ACCREDITED,NBA,30-06-2023,18
1416,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,18
1417,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1418,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1419,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
1420,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INDUSTRIAL ENGINEERING AND MANAGEMENT,ACCREDITED,NBA,30-06-2021,60
1421,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1422,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1423,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS & INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1424,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,MEDICAL ELECTRONICS,ACCREDITED,NBA,30-06-2021,60
1425,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1426,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
1427,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,MCA,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,MASTERS IN COMPUTER APPLICATIONS,ACCREDITED,NBA,30-06-2024,60
1428,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,240
1429,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,240
1430,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,CONSTRUCTION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,18
1431,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,MANAGEMENT,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2022,120
1432,1-9323096845,B M S COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,BIOMEDICAL SIGNAL PROCESSING AND INSTRUMENTATION,ACCREDITED,NBA,30-06-2022,18
1433,1-9323227846,MALLA REDDY COLLEGE OF ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1434,1-9323227846,MALLA REDDY COLLEGE OF ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,240
1435,1-9323227846,MALLA REDDY COLLEGE OF ENGINEERING,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1436,1-9322729871,K K WAGH INSTITUTE OF ENGINEERING EDUCATION RESEARCH,Maharashtra,NASHIK,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1437,1-9322729871,K K WAGH INSTITUTE OF ENGINEERING EDUCATION RESEARCH,Maharashtra,NASHIK,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1438,1-9322729871,K K WAGH INSTITUTE OF ENGINEERING EDUCATION RESEARCH,Maharashtra,NASHIK,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1439,1-9322729871,K K WAGH INSTITUTE OF ENGINEERING EDUCATION RESEARCH,Maharashtra,NASHIK,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1440,1-9322729871,K K WAGH INSTITUTE OF ENGINEERING EDUCATION RESEARCH,Maharashtra,NASHIK,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1441,1-9322729871,K K WAGH INSTITUTE OF ENGINEERING EDUCATION RESEARCH,Maharashtra,NASHIK,Private-Self Financing,MCA,"University of Pune, Pune",POST GRADUATE,MASTERS IN COMPUTER APPLICATIONS,ACCREDITED,NBA,30-06-2022,120
1442,1-9323056015, V S B ENGINEERING COLLEGE,Tamil Nadu,KARUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1443,1-9323056015, V S B ENGINEERING COLLEGE,Tamil Nadu,KARUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1444,1-9323056015, V S B ENGINEERING COLLEGE,Tamil Nadu,KARUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1445,1-9323056015, V S B ENGINEERING COLLEGE,Tamil Nadu,KARUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,180
1446,1-9323056015, V S B ENGINEERING COLLEGE,Tamil Nadu,KARUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1447,1-9323056015, V S B ENGINEERING COLLEGE,Tamil Nadu,KARUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1448,1-9317568218,THIAGARAJAR POLYTECHNIC COLLEGE,Tamil Nadu,SALEM,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2024,60
1449,1-9317568218,THIAGARAJAR POLYTECHNIC COLLEGE,Tamil Nadu,SALEM,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2024,180
1450,1-9317568218,THIAGARAJAR POLYTECHNIC COLLEGE,Tamil Nadu,SALEM,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2024,120
1451,1-9317568218,THIAGARAJAR POLYTECHNIC COLLEGE,Tamil Nadu,SALEM,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,PRODUCTION ENGINEERING,ACCREDITED,NBA,30-06-2024,60
1452,1-9317568218,THIAGARAJAR POLYTECHNIC COLLEGE,Tamil Nadu,SALEM,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,TEXTILE TECHNOLOGY,ACCREDITED,NBA,30-06-2024,60
1453,1-9317565265,ABES ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,180
1454,1-9317565265,ABES ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2024,180
1455,1-9317565265,ABES ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2024,120
1456,1-9317565265,ABES ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1457,1-9317560860,KNOWLEDGE INSTITUTE OF TECHNOLOGY,Tamil Nadu,SALEM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1458,1-9317560860,KNOWLEDGE INSTITUTE OF TECHNOLOGY,Tamil Nadu,SALEM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1459,1-9317560860,KNOWLEDGE INSTITUTE OF TECHNOLOGY,Tamil Nadu,SALEM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1460,1-9317566695,RCC INSTITUTE OF INFORMATION TECHNOLOGY,West Bengal,KOLKATA,Govt aided,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
1461,1-9317559762,IFET COLLEGE OF ENGINEERING,Tamil Nadu,VILUPPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1462,1-9317559762,IFET COLLEGE OF ENGINEERING,Tamil Nadu,VILUPPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1463,1-9317559762,IFET COLLEGE OF ENGINEERING,Tamil Nadu,VILUPPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1464,1-9317559762,IFET COLLEGE OF ENGINEERING,Tamil Nadu,VILUPPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1465,1-9317579868,PROF RAM MEGHE INSTITUTE OF TECHNOLOGY AND RESEARCH,Maharashtra,AMRAVATI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Sant Gadge Baba Amravati University, Amravati",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1466,1-9317579868,PROF RAM MEGHE INSTITUTE OF TECHNOLOGY AND RESEARCH,Maharashtra,AMRAVATI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Sant Gadge Baba Amravati University, Amravati",UNDER GRADUATE,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
1467,1-9317579868,PROF RAM MEGHE INSTITUTE OF TECHNOLOGY AND RESEARCH,Maharashtra,AMRAVATI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Sant Gadge Baba Amravati University, Amravati",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1468,1-9317597599,MALLA REDDY INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,240
1469,1-9317596705,KUPPAM ENGINEERING COLLEGE,Andhra Pradesh,CHITTOOR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
1470,1-9317601834,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1471,1-9317601834,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1472,1-9317601834,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1473,1-9317601834,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,120
1474,1-9317584435,SRM VALLIAMMAI ENGINEERING COLLEGE,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,30
1475,1-9317584435,SRM VALLIAMMAI ENGINEERING COLLEGE,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1476,1-9317584435,SRM VALLIAMMAI ENGINEERING COLLEGE,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2021,30
1477,1-9317584435,SRM VALLIAMMAI ENGINEERING COLLEGE,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
1478,1-9317589008,MVJ COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1479,1-9317589008,MVJ COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1480,1-9317589008,MVJ COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,120
1481,1-9317595434,JEPPIAAR ENGINEERING COLLEGE E T ,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,30
1482,1-9317605981,A M C ENGINEERING COLLEGE,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,240
1483,1-9317605981,A M C ENGINEERING COLLEGE,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,120
